"filename", "language", "JavaScript", "HTTP", "JSON", "XML", "Markdown", "SCSS", "comment", "blank", "total"
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/app/features/home/Home.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 4, 32
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/app/features/login/Login.js", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 6, 60
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/app/features/login/Login.module.scss", "SCSS", 0, 0, 0, 0, 0, 10, 0, 2, 12
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/app/features/purchase/PurchaseComponent.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/app/features/purchase/PurchaseComponent.module.scss", "SCSS", 0, 0, 0, 0, 0, 10, 0, 3, 13
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/app/features/purchase/purchase-list/PurchaseList.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 2, 21
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/app/features/purchase/purchase-list/PurchaseList.module.scss", "SCSS", 0, 0, 0, 0, 0, 16, 0, 3, 19
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/app/features/showcase/Showcase.module.scss", "SCSS", 0, 0, 0, 0, 0, 37, 0, 6, 43
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/app/features/showcase/ShowcaseComponent.js", "JavaScript", 81, 0, 0, 0, 0, 0, 0, 11, 92
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/app/features/showcase/product-side-options/ProductSideOptions.js", "JavaScript", 63, 0, 0, 0, 0, 0, 0, 4, 67
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/app/features/showcase/product-side-options/ProductSideOptions.module.scss", "SCSS", 0, 0, 0, 0, 0, 62, 0, 11, 73
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/app/features/signup/Signup.js", "JavaScript", 123, 0, 0, 0, 0, 0, 0, 13, 136
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/app/features/signup/Signup.module.scss", "SCSS", 0, 0, 0, 0, 0, 65, 1, 8, 74
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/app/features/user-data/UserDataComponent.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 6, 25
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/app/features/user-data/UserDataComponent.module.scss", "SCSS", 0, 0, 0, 0, 0, 30, 0, 5, 35
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/app/features/user-data/data-category/DataCategory.js", "JavaScript", 64, 0, 0, 0, 0, 0, 0, 10, 74
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/app/features/user-data/data-category/DataCategory.module.scss", "SCSS", 0, 0, 0, 0, 0, 13, 0, 3, 16
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/app/features/user-data/data-row/DataRow.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 5, 64
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/app/features/user-data/data-row/DataRow.module.scss", "SCSS", 0, 0, 0, 0, 0, 48, 0, 10, 58
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/app/features/user-data/user-card-data/UserCardData.js", "JavaScript", 83, 0, 0, 0, 0, 0, 0, 9, 92
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/app/features/user-data/user-card-data/UserCardData.module.scss", "SCSS", 0, 0, 0, 0, 0, 5, 0, 1, 6
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/app/hoc/EmailTokenValidation.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 7, 29
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/app/hoc/ProtectRoute.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 4, 21
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/app/services/products.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/package-lock.json", "JSON", 0, 0, 7143, 0, 0, 0, 0, 1, 7144
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/package.json", "JSON", 0, 0, 21, 0, 0, 0, 0, 1, 22
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/pages/_app.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 6, 49
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/pages/dashboard/purchase.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 4, 32
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/pages/dashboard/user-data/card-edit.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 4, 31
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/pages/dashboard/user-data/index.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 4, 33
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/pages/index.js", "JavaScript", 42, 0, 0, 0, 0, 0, 2, 11, 55
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/pages/login.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 2, 20
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/pages/product/[product].js", "JavaScript", 34, 0, 0, 0, 0, 0, 16, 11, 61
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/pages/signup.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 5, 22
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/pages/verified/[verified].js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 4, 36
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/public/vercel.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 4
"/Users/jeffgoes/Documents/SoftwareDevelopment/Learning/Ecommerce/e-commerce/requests.rest", "HTTP", 0, 1, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 1561, 1, 7232, 4, 18, 1083, 92, 527, 10518
